时间,成交价,手数,买卖盘性质
09:54:03,45.44,76,买盘
09:54:06,45.44,49,买盘
09:54:09,45.41,73,卖盘
09:54:12,45.43,27,买盘
09:54:15,45.41,17,卖盘
09:54:18,45.44,77,买盘
09:54:21,45.41,73,卖盘
09:54:24,45.43,194,卖盘
09:54:27,45.38,42,卖盘
09:54:30,45.38,19,卖盘
09:54:33,45.38,33,卖盘
09:54:36,45.38,8,卖盘
09:54:39,45.37,74,卖盘
09:54:42,45.4,35,买盘
09:54:45,45.39,35,卖盘
09:54:48,45.43,37,买盘
09:54:51,45.45,226,买盘
09:54:54,45.45,44,买盘
09:54:57,45.49,18,买盘
09:55:00,45.49,30,买盘
09:55:03,45.52,195,买盘
09:55:06,45.49,48,卖盘
09:55:09,45.49,110,卖盘
09:55:12,45.45,29,卖盘
09:55:15,45.45,41,卖盘
09:55:18,45.46,29,买盘
09:55:21,45.45,47,买盘
09:55:24,45.43,58,卖盘
09:55:27,45.47,63,买盘
09:55:30,45.41,175,卖盘
09:55:33,45.43,118,买盘
09:55:36,45.4,81,卖盘
09:55:39,45.4,46,买盘
09:55:42,45.37,18,卖盘
09:55:45,45.37,162,卖盘
09:55:48,45.36,42,卖盘
09:55:51,45.37,27,买盘
09:55:54,45.36,398,卖盘
09:55:57,45.36,72,买盘
09:56:00,45.37,138,卖盘
09:56:03,45.35,59,卖盘
09:56:06,45.36,51,买盘
09:56:09,45.35,39,卖盘
09:56:12,45.35,47,卖盘
09:56:15,45.35,45,卖盘
09:56:18,45.34,86,卖盘
09:56:21,45.35,490,买盘
09:56:24,45.39,86,买盘
09:56:27,45.4,62,买盘
09:56:30,45.34,43,卖盘
09:56:33,45.39,38,买盘
09:56:36,45.35,10,卖盘
09:56:39,45.38,47,买盘
09:56:42,45.35,66,卖盘
09:56:45,45.36,44,卖盘
09:56:48,45.36,7,卖盘
09:56:51,45.36,23,买盘
09:56:54,45.36,71,买盘
09:56:57,45.38,26,买盘
09:57:00,45.37,76,卖盘
09:57:03,45.38,86,买盘
09:57:06,45.4,102,买盘
09:57:09,45.38,85,卖盘
09:57:12,45.4,52,卖盘
09:57:15,45.4,38,买盘
09:57:18,45.38,67,卖盘
09:57:21,45.43,82,买盘
09:57:24,45.43,7,买盘
09:57:27,45.42,31,卖盘
09:57:30,45.44,28,买盘
09:57:33,45.43,163,卖盘
09:57:36,45.43,35,买盘
09:57:39,45.43,27,卖盘
09:57:42,45.49,215,买盘
09:57:45,45.44,98,卖盘
09:57:48,45.5,145,买盘
09:57:51,45.49,73,卖盘
09:57:54,45.49,76,卖盘
09:57:57,45.49,191,卖盘
09:58:00,45.49,45,买盘
09:58:03,45.48,45,卖盘
09:58:06,45.48,32,买盘
09:58:09,45.48,20,买盘
09:58:12,45.47,119,卖盘
09:58:15,45.47,7,买盘
09:58:18,45.47,7,买盘
09:58:21,45.46,32,卖盘
09:58:24,45.46,38,买盘
09:58:27,45.45,64,卖盘
09:58:30,45.45,410,卖盘
09:58:33,45.49,160,买盘
09:58:36,45.52,63,买盘
09:58:39,45.49,16,卖盘
09:58:42,45.53,1,买盘
09:58:45,45.52,13,买盘
09:58:48,45.53,32,买盘
09:58:51,45.53,15,买盘
09:58:54,45.53,12,买盘
09:58:57,45.53,20,买盘
09:59:00,45.53,95,买盘
09:59:03,45.52,31,卖盘
09:59:06,45.52,29,买盘
09:59:09,45.52,29,买盘
09:59:12,45.52,23,买盘
09:59:15,45.51,28,卖盘
09:59:18,45.5,22,卖盘
09:59:21,45.51,129,买盘
09:59:24,45.52,214,买盘
09:59:27,45.52,79,买盘
09:59:30,45.57,6,买盘
09:59:33,45.53,12,卖盘
09:59:36,45.57,14,买盘
09:59:39,45.58,34,买盘
09:59:42,45.57,27,卖盘
09:59:45,45.59,7,买盘
09:59:48,45.59,83,买盘
09:59:51,45.59,61,买盘
09:59:54,45.58,54,卖盘
09:59:57,45.59,64,买盘
10:00:00,45.58,41,卖盘
10:00:03,45.54,66,卖盘
10:00:06,45.53,112,卖盘
10:00:09,45.49,39,卖盘
10:00:12,45.48,25,卖盘
10:00:15,45.45,56,卖盘
10:00:18,45.45,16,买盘
10:00:21,45.43,78,卖盘
10:00:24,45.43,118,买盘
10:00:27,45.43,28,买盘
10:00:30,45.41,109,卖盘
10:00:33,45.43,235,买盘
10:00:36,45.42,64,卖盘
10:00:39,45.42,19,卖盘
10:00:42,45.42,50,卖盘
10:00:45,45.42,302,买盘
